horizon_quarter,experiment,variable,pct_dev
54,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.452
55,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.523
56,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.595
57,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.667
58,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.74
59,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.814
60,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.889
61,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.965
62,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),2.041
63,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),2.118
64,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),2.196
65,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),2.274
66,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),2.353
67,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),2.432
68,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),2.512
69,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),2.593
70,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),2.674
71,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),2.755
72,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),2.837
73,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),2.919
74,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),3.002
75,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),3.085
76,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),3.169
77,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),3.253
78,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),3.337
79,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),3.421
80,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),3.506
81,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),3.591
82,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),3.676
83,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),3.761
84,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),3.847
85,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),3.933
86,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),4.019
87,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),4.105
88,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),4.192
89,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),4.278
90,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),4.365
91,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),4.452
92,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),4.538
93,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),4.625
94,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),4.712
95,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),4.799
96,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),4.887
97,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),4.974
98,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),5.061
99,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),5.148
100,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),5.235
1,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.232
2,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),-0.159
3,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),-0.235
4,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),-0.285
5,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),-0.31
6,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),-0.314
7,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),-0.301
8,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),-0.276
9,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),-0.24
10,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),-0.197
11,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),-0.148
12,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),-0.094
13,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),-0.037
14,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.023
15,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.085
16,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.149
17,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.213
18,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.278
19,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.343
20,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.409
21,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.475
22,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.541
23,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.606
24,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.672
25,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.737
26,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.802
27,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.866
28,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.931
29,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),0.995
30,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.058
31,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.122
32,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.185
33,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.247
34,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.31
35,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.372
36,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.433
37,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.495
38,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.555
39,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.616
40,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.676
41,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.736
42,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.796
43,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.855
44,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.914
45,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),1.973
46,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.031
47,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.089
48,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.147
49,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.205
50,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.262
51,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.319
52,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.375
53,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.431
54,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.487
55,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.543
56,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.599
57,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.654
58,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.709
59,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.763
60,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.818
61,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.872
62,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.925
63,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),2.979
64,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.032
65,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.085
66,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.138
67,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.19
68,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.243
69,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.295
70,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.346
71,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.398
72,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.449
73,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.5
74,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.551
75,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.601
76,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.652
77,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.702
78,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.751
79,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.801
80,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.85
81,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.9
82,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.949
83,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),3.997
84,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.046
85,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.094
86,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.142
87,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.19
88,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.238
89,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.286
90,AE: R&D spending,Output (Y<sup>d</sup><sub>t</sub>),4.333
