year,duration,variable,pct_dev
2032.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.026
2032.25,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.023
2032.5,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.021
2032.75,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.019
2033.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.017
2033.25,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.015
2033.5,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.014
2033.75,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.012
2034.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.011
2034.25,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.01
2034.5,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.009
2034.75,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.008
2035.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.007
2035.25,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.007
2035.5,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.006
2035.75,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.005
2036.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.005
2036.25,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.004
2036.5,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.004
2036.75,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.003
2037.0,ρ = 0.9,Output (Y<sup>d</sup><sub>t</sub>),0.003
2025.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.0
2025.25,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.261
2025.5,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.358
2025.75,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.403
2026.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.422
2026.25,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.43
2026.5,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.431
2026.75,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.43
2027.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.427
2027.25,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.423
2027.5,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.419
2027.75,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.415
2028.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.411
2028.25,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.407
2028.5,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.403
2028.75,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.399
2029.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.396
2029.25,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.392
2029.5,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.388
2029.75,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.384
2030.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.38
2030.25,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.377
2030.5,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.373
2030.75,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.37
2031.0,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.366
2031.25,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.363
2031.5,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.359
2031.75,ρ = 0.99,Output (Y<sup>d</sup><sub>t</sub>),0.356
