experiment,instrument,param,param_value,is_baseline,yd_y0,yd_y1,yd_y2,yd_y3,yd_y4,yd_y5,yd_y6,yd_y7,yd_y8,yd_y9,yd_y10,yd_y11,yd_y12,yd_y13,yd_y14,yd_y15,yd_y16,yd_y17,yd_y18,yd_y19,yd_y20,yd_y21,yd_y22,yd_y23,yd_y24,yd_y25,yd_y26,yd_y27,yd_y28,yd_y29,yd_y30,yd_y31,yd_y32,yd_y33,yd_y34,yd_y35,yd_y36,yd_y37,yd_y38,yd_y39,yd_y40,yd_y41,yd_y42,yd_y43,yd_y44,yd_y45,yd_y46,yd_y47,yd_y48,yd_y49,yd_y50
Model_HumanCapital_exp_igi_perm,Igi,baseline,,1,0.000000,0.330648,0.312867,0.493606,0.659255,0.812869,0.956292,1.090862,1.217586,1.337245,1.450459,1.557733,1.659485,1.756072,1.847799,1.934940,2.017736,2.096408,2.171159,2.242179,2.309644,2.373722,2.434571,2.492342,2.547179,2.599219,2.648595,2.695433,2.739853,2.781972,2.821902,2.859747,2.895612,2.929593,2.961784,2.992275,3.021150,3.048492,3.074378,3.098883,3.122078,3.144030,3.164803,3.184459,3.203056,3.220650,3.237293,3.253035,3.267925,3.282006,3.295323
Model_HumanCapital_exp_igi_perm,Igi,alphaG,0.02,0,0.000000,0.319301,0.274716,0.355441,0.429806,0.499129,0.564133,0.625337,0.683131,0.737820,0.789651,0.838827,0.885520,0.929878,0.972031,1.012097,1.050184,1.086388,1.120801,1.153509,1.184592,1.214127,1.242187,1.268841,1.294156,1.318194,1.341016,1.362681,1.383244,1.402758,1.421274,1.438841,1.455504,1.471310,1.486299,1.500513,1.513991,1.526768,1.538882,1.550364,1.561248,1.571563,1.581339,1.590603,1.599381,1.607699,1.615579,1.623046,1.630120,1.636821,1.643169
Model_HumanCapital_exp_igi_perm,Igi,alphaG,0.054,0,0.000000,0.330648,0.312867,0.493606,0.659255,0.812869,0.956292,1.090862,1.217586,1.337245,1.450459,1.557733,1.659485,1.756072,1.847799,1.934940,2.017736,2.096408,2.171159,2.242179,2.309644,2.373722,2.434571,2.492342,2.547179,2.599219,2.648595,2.695433,2.739853,2.781972,2.821902,2.859747,2.895612,2.929593,2.961784,2.992275,3.021150,3.048492,3.074378,3.098883,3.122078,3.144030,3.164803,3.184459,3.203056,3.220650,3.237293,3.253035,3.267925,3.282006,3.295323
Model_HumanCapital_exp_igi_perm,Igi,alphaG,0.08,0,0.000000,0.339303,0.341921,0.599385,0.835161,1.053657,1.257572,1.448859,1.628984,1.799075,1.960024,2.112554,2.257260,2.394646,2.525144,2.649135,2.766958,2.878921,2.985307,3.086380,3.182386,3.273559,3.360121,3.442282,3.520245,3.594205,3.664346,3.730849,3.793884,3.853617,3.910207,3.963806,4.014560,4.062610,4.108090,4.151128,4.191849,4.230369,4.266802,4.301254,4.333829,4.364624,4.393732,4.421243,4.447241,4.471806,4.495015,4.516940,4.537650,4.557212,4.575686
Model_HumanCapital_exp_igi_perm,Igi,alphaG,0.12,0,0.000000,0.352560,0.386386,0.762296,1.106503,1.425538,1.723412,2.003006,2.266463,2.515425,2.751179,2.974757,3.187008,3.388643,3.580270,3.762424,3.935578,4.100164,4.256577,4.405185,4.546337,4.680361,4.807572,4.928272,5.042749,5.151284,5.254147,5.351597,5.443886,5.531257,5.613944,5.692172,5.766159,5.836114,5.902238,5.964725,6.023758,6.079515,6.132166,6.181874,6.228793,6.273071,6.314850,6.354263,6.391439,6.426499,6.459559,6.490729,6.520114,6.547812,6.573917
Model_HumanCapital_exp_igi_perm,Igi,alphaG,0.17,0,0.000000,0.368996,0.441513,0.966168,1.446840,1.892779,2.309634,2.701414,3.071071,3.420842,3.752466,4.067326,4.366549,4.651072,4.921694,5.179113,5.423947,5.656759,5.878065,6.088352,6.288078,6.477683,6.657588,6.828202,6.989921,7.143129,7.288200,7.425497,7.555376,7.678179,7.794240,7.903881,8.007415,8.105144,8.197360,8.284341,8.366360,8.443673,8.516529,8.585167,8.649813,8.710684,8.767987,8.821920,8.872671,8.920418,8.965330,9.007570,9.047289,9.084634,9.119740
Model_HumanCapital_exp_igi_perm,Igi,alphaG,0.2,0,0.000000,0.378763,0.474313,1.088581,1.651622,2.174363,2.663428,3.123491,3.557966,3.969424,4.359853,4.730825,5.083614,5.419274,5.738702,6.042677,6.331891,6.606971,6.868500,7.117022,7.353056,7.577100,7.789636,7.991135,8.182051,8.362834,8.533919,8.695733,8.848694,8.993208,9.129671,9.258468,9.379972,9.494545,9.602536,9.704284,9.800111,9.890331,9.975243,10.055135,10.130279,10.200940,10.267366,10.329797,10.388460,10.443569,10.495331,10.543938,10.589576,10.632419,10.672632
Model_HumanCapital_exp_igi_perm,Igi,mu,0.05,0,0.000000,0.330648,0.312867,0.493606,0.659255,0.812869,0.956292,1.090862,1.217586,1.337245,1.450459,1.557733,1.659485,1.756072,1.847799,1.934940,2.017736,2.096408,2.171159,2.242179,2.309644,2.373722,2.434571,2.492342,2.547179,2.599219,2.648595,2.695433,2.739853,2.781972,2.821902,2.859747,2.895612,2.929593,2.961784,2.992275,3.021150,3.048492,3.074378,3.098883,3.122078,3.144030,3.164803,3.184459,3.203056,3.220650,3.237293,3.253035,3.267925,3.282006,3.295323
Model_HumanCapital_exp_igi_perm,Igi,mu,0.1,0,0.000000,0.330648,0.312867,0.493606,0.659255,0.812869,0.956292,1.090862,1.217586,1.337245,1.450459,1.557733,1.659485,1.756072,1.847799,1.934940,2.017736,2.096408,2.171159,2.242179,2.309644,2.373722,2.434571,2.492342,2.547179,2.599219,2.648595,2.695433,2.739853,2.781972,2.821902,2.859747,2.895612,2.929593,2.961784,2.992275,3.021150,3.048492,3.074378,3.098883,3.122078,3.144030,3.164803,3.184459,3.203056,3.220650,3.237293,3.253035,3.267925,3.282006,3.295323
Model_HumanCapital_exp_igi_perm,Igi,mu,0.15,0,0.000000,0.330648,0.312867,0.493606,0.659255,0.812869,0.956292,1.090862,1.217586,1.337245,1.450459,1.557733,1.659485,1.756072,1.847799,1.934940,2.017736,2.096408,2.171159,2.242179,2.309644,2.373722,2.434571,2.492342,2.547179,2.599219,2.648595,2.695433,2.739853,2.781972,2.821902,2.859747,2.895612,2.929593,2.961784,2.992275,3.021150,3.048492,3.074378,3.098883,3.122078,3.144030,3.164803,3.184459,3.203056,3.220650,3.237293,3.253035,3.267925,3.282006,3.295323
